English,Arabic
abandon,تخلى
ability,قدرة
able,قادر
abortion,إجهاض
about,حول
above,فوق
abroad,خارج البلاد
absence,غياب
absolute,مطلق
absolutely,إطلاقا
absorb,تمتص
abuse,تعاطي
academic,الأكاديمي
accept,قبول
access,التمكن من
accident,حادثة
accompany,مرافقة
accomplish,ينجز
according,تبعا
account,الحساب
accurate,دقيق
accuse,اتهم
achieve,التوصل
achievement,إنجاز
acid,حامض
acknowledge,الإقرار
acquire,يستحوذ على
across,عير
act,يمثل
action,عمل
active,نشيط
activist,الناشط
activity,نشاط
actor,الممثل
actress,ممثلة
actual,فعلي
actually,في الواقع
ad,ميلادي
adapt,يتكيف
add,يضيف
addition,إضافة
additional,إضافي
address,عنوان
adequate,مناسب
adjust,يعدل
adjustment,تعديل
administration,الادارة
administrator,مدير
admire,معجب
admission,سماح بالدخول
admit,يعترف
adolescent,مراهق
adopt,يتبنى
adult,الكبار
advance,تقدم
advanced,المتقدمة
advantage,مميزات
adventure,مفامرة
advertising,إعلان
advice,النصيحة
advise,ينصح
adviser,مستشار
advocate,يدافع عن
affair,قضية
affect,يؤثر
afford,تحمل
afraid,خائف
African,الأفريقي
African-American,الافارقه الامريكان
after,بعد، بعدما
afternoon,بعد الظهر
again,تكرارا
against,ضد
age,سن
agency,وكالة
agenda,جدول أعمال
agent,وكيلات
aggressive,عنيف
ago,منذ
agree,يوافق على
agreement,اتفاق
agricultural,الزراعة
ah,آه
ahead,امام
aid,يساعد
aide,مساعد
AIDS,الإيدز
aim,هدف، تصويب
air,هواء
aircraft,الطائرات
airline,شركة طيران
airport,مطار
album,ألبوم
alcohol,الكحول
alive,على قيد الحياة
all,الكل
alliance,تحالف
allow,السماح
ally,حليف
almost,تقريبيا
alone,وحده
along,على امتداد
already,بالفعل
also,أيضا
alter,تغيير
alternative,لبديل
although,بالرغم ان
always,دائما
AM,صباحا
amazing,مدهش
American,أمريكي
among,من بين
amount,كمية
analysis,التحليلات
analyst,المحلل
analyze,تحليل
ancient,عتيق
and,و
anger,غاضب
angle,زاوية
angry,غاضب
animal,حيوان
anniversary,ذكرى سنوية
announce,أعلن
annual,سنوي
another,اخر
answer,إجابه
anticipate,يتوقع
anxiety,القلق
any,أي
anybody,اي شخص
anymore,أي أكثر من ذلك
anyone,أي واحد
anything,اى شئ
anyway,على أي حال
anywhere,في أى مكان
apart,بعيدا، بمعزل، على حد
apartment,شقة
apparent,واضح
apparently,فيما يبدو
appeal,مناشدة
appear,يظهر
appearance,مظهر خارجي
apple,تفاح
application,تطبيق
apply,تطبيق
appoint,تعيين
appointment,موعد
appreciate,يقدر
approach,مقاربة
appropriate,ملائم
approval,موافقة
approve,يوافق
approximately,تقريبا
Arab,عرب
architect,مهندس معماري
area,منطقة
argue,تجادل
argument,جدال
arise,تنشأ
arm,ذراع
armed,مسلح
army,جيش
around,حول
arrange,رتب
arrangement,ترتيب
arrest,يقبض على
arrival,وصول
arrive,يصل
art,فن
article,مقالة - سلعة
artist,فنان
artistic,فني
as,كما
Asian,الآسيوية
aside,جانبا
ask,يطلب
asleep,نائم
aspect,وجه
assault,الاعتداءات
assert,يجزم
assess,تقييم
assessment,تقيم
asset,أصل
assign,تعيين
assignment,مهمة
assist,مساعدة
assistance,مساعدة
assistant,مساعد
associate,مساعد
association,منظمة
assume,افترض
assumption,افتراض
assure,ضم
at,في
athlete,رياضي
athletic,رياضي
atmosphere,الغلاف الجوي
attach,يربط
attack,هجوم
attempt,محاولة
attend,حضر
attention,الانتباه
attitude,سلوك
attorney,محامي
attract,جذب
attractive,ملفت للانتباه
attribute,ينسب
audience,جمهور
author,مؤلف
authority,السلطة
auto,تلقاءي
available,متوفرة
average,معدل
avoid,تجنب
award,جائزة
aware,واعي
awareness,وعي
away,بعيدا
awful,سيئ
baby,طفل
back,الى الخلف
background,معرفتي
bad,سيء
badly,بشكل سيئ
bag,حقيبة
bake,خبز
balance,الرصيد
ball,كرة
ban,المنع
band,حافظة مسافة
bank,مصرف
bar,شريط
barely,بالكاد
barrel,برميل
barrier,حاجز
base,يتمركز
baseball,البيسبول
basic,أساسي
basically,في الأساس
basis,أساس
basket,سلة
basketball,كرة سلة
bathroom,حمام
battery,البطارية
battle,معركة
be,يكون
beach,شاطئ
bean,فاصوليا
bear,يتحمل
beat,تغلب
beautiful,جميلة
beauty,جمال
because,لأن
become,أصبح
bed,سرير
bedroom,غرفة نوم
beer,بيرة
before,قبل
begin,يبدأ
beginning,بداية
behavior,سلوك
behind,خلف
being,يجرى
belief,إيمان
believe,يصدق
bell,جرس
belong,ينتمي ل
below,أدناه
belt,حزام
bench,مقاعد البدلاء
bend,يلوي
beneath,أسفل
benefit,المنفعة
beside,بجانب
besides,بجانب
best,أفضل
bet,رهان
better,أفضل
between,ما بين
beyond,وراء - فى الجانب الاخر
Bible,الكتاب المقدس
big,كبير
bike,دراجة هوائية
bill,مشروع قانون
billion,مليار
bind,ربط
biological,بيولوجي
bird,عصفور
birth,ولادة
birthday,عيد الميلاد
bit,قليل
bite,يعض
black,أسود
blade,شفرة
blame,لوم
blanket,بطانية
blind,أعمى
block,منع
blood,دم
blow,نفخ
blue,أزرق
board,مجلس
boat,قارب
body,هيئة
bomb,قنبلة
bombing,قصف
bond,رابطة
bone,عظم
book,الكتاب
boom,فقاعة
boot,حذاء طويل
border,الحدود
born,ولد
borrow,اقتراض
boss,رئيس
both,على حد سواء
bother,يزعج
bottle,زجاجة
bottom,قاع
boundary,حد
bowl,صحن
box,علبة
boy,صبي
boyfriend,حبيب
brain,مخ
branch,فرع
brand,ماركة
bread,خبز
break,استراحة
breakfast,وجبة افطار
breast,صدر
breath,يتنفس
breathe,نفس
brick,قالب طوب
bridge,كوبري
brief,نبذة
briefly,موجز
bright,مشرق
brilliant,متألق
bring,احضر
British,بريطاني
broad,واسع
broken,مكسور
brother,شقيق
brown,بنى
brush,فرشاة
buck,دولار
budget,تبرع
build,يبني
building,بناء
bullet,رصاصة
bunch,حزمة
burden,حرج
burn,يحرق
bury,دفن
bus,أوتوبيس
business,عمل
busy,مشغول
but,لكن
butter,زبدة
button,زر
buy,يشترى
buyer,مشتر
by,بواسطة
cabin,الطائرة
cabinet,خزانة
cable,كابل
cake,كيك
calculate,حساب
call,مكالمة
camera,الة تصوير
camp,معسكر
campaign,الحملة الانتخابية
campus,الحرم الجامعي
can,علبة
Canadian,كندي
cancer,سرطان
candidate,مرشح
cap,قبعة
capability,الإمكانية
capable,قادر
capacity,الاهلية
capital,رأس المال
captain,قائد المنتخب
capture,إلتقاط
car,السيارات
carbon,كربون
card,بطاقة
care,رعاية
career,مسار مهني مسار وظيفي
careful,حذر
carefully,بحرص
carrier,الناقل
carry,احمل
case,قضية
cash,السيولة النقدية
cast,يقذف
cat,قط
catch,يمسك
category,الفئة
Catholic,كاثوليكي
cause,لانى
ceiling,السقف
celebrate,احتفل
celebration,احتفال
celebrity,نجاح كبير
cell,زنزانة
center,المركز
central,وسط
century,مئة عام
CEO,المدير التنفيذي
ceremony,مراسم
certain,المؤكد
certainly,من المؤكد
chain,سلسلة
chair,كرسي
chairman,رئيس
challenge,تحد
chamber,غرفة
champion,بطل
championship,بطولة
chance,صدفة
change,يتغيرون
changing,تغيير
channel,قناة
chapter,الفصل
character,اختلاف الشخصيات
characteristic,صفة مميزة
characterize,تميز
charge,الشحنة
charity,الاعمال الخيرية
chart,جدول
chase,مطاردة
cheap,الرخيص
check,التحقق من
cheek,خد
cheese,جبنه
chef,طاه
chemical,المواد الكيميائية
chest,صدر
chicken,دجاج
chief,رئيس
child,طفل
childhood,مرحلة الطفولة
Chinese,صينى
chip,رقاقة
chocolate,شوكولاتة
choice,خيار
cholesterol,الكوليسترول
choose,يختار
Christian,مسيحي
Christmas,عيد الميلاد
church,كنيسة
cigarette,سيجارة
circle,دائرة
circumstance,ظرف
cite,استشهد
citizen,مواطن
city,مدينة
civil,مدني
civilian,المدني
claim,مطالبة
class,صف دراسي
classic,الكلاسيكية
classroom,قاعة الدراسة
clean,ينظف
clear,صافي
clearly,بوضوح
client,زبون
climate,مناخ
climb,تسلق
clinic,عيادة
clinical,مرضي
clock,ساعة
close,أغلق
closely,بعناية
closer,أقرب
clothes,ملابس
clothing,ملابس
cloud,غيم
club,النادي
clue,فكرة
cluster,العنقودية
coach,مدرب رياضي
coal,فحم
coalition,الائتلاف
coast,ساحل
coat,معطف
code,الشفرة
coffee,قهوة
cognitive,الإدراكي
cold,البرد
collapse,انهيار
colleague,كلية
collect,يجمع
collection,مجموعة
collective,جماعي
college,كلية
colonial,استعمار
color,اللون
column,عمودي
combination,مزيج
combine,يجمع
come,يأتي
comedy,كوميديا
comfort,راحة
comfortable,مريح
command,أمر
commander,القائد
comment,تعليق
commercial,تجاري
commission,لجنة
commit,ارتكب
commitment,التزام
committee,لجنة
common,مشترك
communicate,نقل
communication,الاتصالات
community,تواصل اجتماعي
company,شركة
compare,قارن
comparison,مقارنة
compete,تنافس
competition,منافسة
competitive,تنافسي
competitor,منافس
complain,تذمر
complaint,شكوى
complete,مكتمل
completely,تماما
complex,مركب
complicated,معقد
component,مكون
compose,مؤلف موسيقى
composition,تكوين
comprehensive,شامل
computer,الحاسوب
concentrate,يركز
concentration,تركيز
concept,مفهوم
concern,الاهتمام
concerned,المعنية
concert,حفلة موسيقية
conclude,نستنتج
conclusion,استنتاج
concrete,الخرسانة
condition,شرط
conduct,سلوك
conference,مؤتمر
confidence,الثقة
confident,موثوق
confirm,تؤكد
conflict,نزاع
confront,مواجهة
confusion,الالتباس
Congress,الكونغرس
congressional,الكونجرس
connect,الاتصال
connection,الإتصال
consciousness,الوعي
consensus,إجماع
consequence,عاقبة
conservative,تحفظا
consider,انصح
considerable,ضخم
consideration,الاعتبار
consist,تتكون
consistent,ثابتة
constant,ثابت
constantly,باستمرار
constitute,تشكل
constitutional,الدستورية
construct,بناء
construction,اعمال بناء
consultant,مستشار
consume,تستهلك
consumer,مستهلك
consumption,استهلاك
contact,اتصل
contain,يحتوي
container,وعاء
contemporary,معاصر
content,المحتوى
contest,منافسة
context,سياق الكلام
continue,استمر
continued,واصلت
contract,اتفافية
contrast,التباين
contribute,مساهمة
contribution,مساهمة
control,مراقبة
controversial,مثيرة للجدل
controversy,الجدل
convention,اتفاقية. معاهدة
conventional,عادي
conversation,محادثة
convert,يتحول
conviction,قناعة
convince,يقنع
cook,يطبخ
cookie,بسكويت
cooking,طبخ
cool,بارد
cooperation,تعاون
cop,شرطي
cope,التأقلم
copy,ينسخ
core,جوهر
corn,حبوب ذرة
corner,ركن
corporate,شركة كبرى
corporation,شركة
correct,صيح
correspondent,مراسل
cost,كلفة
cotton,القطن
couch,أريكة
could,استطاع
council,مجلس
counselor,مستشار
count,عدد
counter,عداد
country,بلد
county,مقاطعة
couple,زوج
courage,شجاعة
course,مسار
court,ملعب تنس
cousin,ولد عم
cover,غطاء، يغطي
coverage,تغطية
cow,بقرة
crack,كسر
craft,حرفة
crash,يصطدم
crazy,مجنون
cream,كريم
create,يزيد
creation,خلق
creative,خلاق
creature,مخلوق
credit,الإئتمان
crew,طاقم العمل
crime,جريمة
criminal,مجرم
crisis,مصيبة
criteria,المعايير
critic,الناقد
critical,حرج
criticism,نقد
criticize,ينتقد
crop,ا & قتصاص
cross,تعبر
crowd,يحشد
crucial,مهم
cry,بكاء
cultural,الثقافية
culture,حضاره
cup,فنجان
curious,فضولي
current,تيار
currently,حاليا
curriculum,منهاج دراسي
custom,مخصص
customer,عميل
cut,يقطع
cycle,دورة
dad,بابا
daily,اليومي
damage,تلف
dance,رقص
danger,خطر
dangerous,خطير >> صفة
dare,تجرؤ
dark,داكن
darkness,الظلام
data,البيانات
date,تاريخ
daughter,بنت
day,يوم
dead,في ذمة الله تعالى
deal,صفقة
dealer,تاجر
dear,عزيزي
death,الموت
debate,النقاش
debt,دين
decade,عقد
decide,قرر
decision,قرار
deck,ظهر السفينة
declare,يعلن
decline,يتناقص
decrease,ينقص
deep,عميق
deeply,بشدة
deer,الغزال
defeat,هزيمة
defend,الدفاع
defendant,المدعى عليه
defense,دفاع
defensive,دفاعي
deficit,عجز
define,حدد
definitely,بالتااكيد
definition,تعريف
degree,الدرجة العلمية
delay,تأخير
deliver,ايصال
delivery,توصيل
demand,الطلب
democracy,ديمقراطية
Democrat,الديموقراطي
democratic,الديمقراطية
demonstrate,يوضح
demonstration,برهنة
deny,ينكر
department,قسم
depend,تعتمد
dependent,متكل
depending,اعتمادا
depict,تصف
depression,كآبة
depth,عمق
deputy,نائب
derive,استخلاص
describe,يصف
description,وصف
desert,صحراء
deserve,استحق
design,التصميم
designer,مصمم
desire,رغبة
desk,طاولة مكتب
desperate,متحرق إلى
despite,بالرغم من
destroy,هدم
destruction,دمار
detail,تفاصيل
detailed,مفصلة
detect,يكشف
determine,حدد
develop,طور
developing,تطوير
development,تطوير
device,جهاز
devote,تكريس
dialogue,حوار
die,موت
diet,حمية
differ,اختلف
difference,فرق
different,مختلف
differently,بشكل مختلف
difficult,صعبة
difficulty,صعوبة
dig,حفر
digital,الرقمية
dimension,البعد
dining,تناول الطعام
dinner,وجبة عشاء
direct,مباشرة
direction,اتجاه
directly,مباشرة
director,مدير
dirt,التراب
dirty,متسخ
disability,عجز
disagree,تعارض
disappear,يختفي
disaster,كارثة
discipline,انضباط
discourse,الحوار
discover,يكتشف
discovery,اكتشاف
discrimination,التمييز
discuss,مناقشة
discussion,نقاش
disease,مرض
dish,طبق
dismiss,رفض
disorder,اضطراب
display,عرض
dispute,خلاف
distance,مسافه: بعد
distant,بعيدة
distinct,خامد
distinction,امتياز
distinguish,تميز
distribute,نشر
distribution,توزيع
district,منطقة
diverse,متنوع
diversity,تنوع
divide,يقسم
division,قطاع
divorce,طلاق
DNA,الحمض النووي
do,فعل
doctor,طبيب
document,وثيقة
dog,كلب
domestic,المنزلي
dominant,مهيمن
dominate,تسيطر
door,باب
double,مزدوج
doubt,شك
down,تحت
downtown,وسط البلد
dozen,دزينة
draft,مشروع
drag,يجر
drama,دراما
dramatic,دراماتيكي
dramatically,بشكل كبير
draw,يرسم
drawing,رسم
dream,حلم
dress,فستان
drink,يشرب
drive,قائد
driver,سائق
drop,قطرة
drug,المخدرات
dry,جاف
due,بسبب
during,خلال
dust,تراب
duty,واجب
each,كل
eager,حريص
ear,أذن
early,مبكرا
earn,يكسب
earnings,الأرباح
earth,الارض
ease,يسهل
easily,بسهولة
east,الشرق
eastern,الشرقية
easy,سهل
eat,تأكل
economic,اقتصادي
economics,اقتصاديات
economist,الاقتصاد
economy,اقتصاد
edge,حافة
edition,الإصدار
editor,محرر
educate,تعليم
education,التعليم
educational,تعليمي
educator,المعلم
effect,تأثير
effective,فعال
effectively,على نحو فعال
efficiency,نجاعة
efficient,فعالة
effort,مجهود
egg,بيضة
eight,ثمانية
either,إما
elderly,كبار السن
elect,منتخب
election,انتخاب
electric,كهربائي
electricity,كهرباء
electronic,الإلكترونية
element,عنصر
elementary,ابتدائي
eliminate,القضاء
elite,نخبة
else,آخر
elsewhere,في مكان آخر
e-mail,البريد الإلكتروني
embrace,تعانق
emerge,يظهر
emergency,حالة طوارئ
emission,انبعاث
emotion,المشاعر
emotional,عاطفي
emphasis,التركيز
emphasize,التأكيد على
employ,توظيف
employee,الموظف
employer,صاحب العمل
employment,توظيف
empty,فارغة
enable,ممكن
encounter,يواجه .. ينجز
encourage,التشجيع
end,نهاية
enemy,العدو
energy,طاقة
enforcement,إجباري
engage,يشترك - ينخرط
engine,محرك
engineer,مهندس
engineering,هندسة
English,إنجليزي
enhance,تعزز
enjoy,التمتع
enormous,ضخم
enough,يكفي
ensure,التأكد من
enter,أدخل
enterprise,مشروع - مغامرة
entertainment,تسلية
entire,بأكمله
entirely,تماما
entrance,مدخل
entry,دخول
environment,بيئة
environmental,البيئة
episode,حلقة
equal,مساو
equally,على قدم المساواة
equipment,معدات
era,حقبة
error,خطأ
escape,هرب
especially,خصوصا
essay,مقال
essential,أساس
essentially,بشكل أساسي
establish,إنشاء
establishment,مؤسسة
estate,ملكية
estimate,تقدير
etc,إلخ
ethics,أخلاق
ethnic,عرقي
European,الأوروبي
evaluate,تقييم
evaluation,تقييم
even,حتى في
evening,مساء
event,حدث
eventually,في النهاية
ever,أبدا
every,كل
everybody,الجميع
everyday,كل يوم
everyone,كل واحد
everything,كل شىء
everywhere,في كل مكان
evidence,دليل
evolution,تطور
evolve,تطور
exact,بالضبط
exactly,بالضبط
examination,فحص
examine,يفحص
example,مثال
exceed,يتجاوز
excellent,ممتاز
except,إلا
exception,استثناء
exchange,تبادل
exciting,مثير
executive,تنفيذي
exercise,ممارسه الرياضه
exhibit,يعرض
exhibition,معرض
exist,يوجد
existence,وجود
existing,موجود
expand,وسعت
expansion,توسع
expect,توقع
expectation,توقع
expense,مصروف
expensive,مكلفة
experience,خبرة
experiment,تجربة
expert,خبير
explain,يشرح
explanation,تفسير
explode,ينفجر
explore,يكتشف
explosion,انفجار
expose,تعرض
exposure,مكشوف
express,التعبير
expression,التعبير
extend,يمتد
extension,تمديد
extensive,شاسع
extent,مدى
external,خارجي
extra,إضافي
extraordinary,استثنائي
extreme,شديد
extremely,الى ابعد حد
eye,عين
fabric,قماش
face,وجه
facility,منشأة
fact,حقيقة
factor,عامل
factory,مصنع
faculty,الأساتذه
fade,يختفي
fail,يفشل
failure,بالفشل
fair,عدل
fairly,تماما
faith,إيمان
fall,تقع
FALSE,خاطئة
familiar,معروف
family,أسرة
famous,مشهور
fan,المعجب
fantasy,خيالي
far,بعيد
farm,مزرعة
farmer,مزارع
fashion,موضه
fast,بسرعة
fat,سمين
fate,قدر
father,الآب
fault,عيب
favor,محاباة
favorite,المفضل
fear,يخاف
feature,خاصية
federal,الفيدرالية
fee,مصاريف
feed,تغذية
feel,يشعر
feeling,شعور
fellow,زميل
female,أنثى
fence,سور
few,قليل
fewer,أقل
fiber,الأساسية
fiction,خيال
field,حقل
fifteen,خمسة عشر
fifth,خامسا
fifty,خمسون
fight,يعارك
fighter,مقاتل
fighting,قتال
figure,الشكل
file,ملف
fill,يملأ
film,فيلم
final,أخير
finally,أخيرا
finance,المالية
financial,الأمور المالية
find,تجد
finding,العثور على
fine,بخير
finger,اصبع اليد
finish,ينهي
fire,إطلاق النار
firm,مؤسسة
first,أول
fish,سمكة
fishing,صيد السمك
fit,لائق بدنيا
fitness,اللياقه البدنيه
five,خمسة
fix,يصلح
flag,علم
flame,لهب
flat,مسطحة
flavor,نكهة
flee,فرار
flesh,لحم
flight,طيران
float,تطفو
floor,أرضية
flow,تدفق
flower,زهرة
fly,يطير
focus,التركيز
folk,قوم
follow,إتبع
following,التالية
food,غذاء
foot,قدم
football,كرة القدم
for,ل
force,فرض
foreign,أجنبي
forest,غابة
forever,مدى الحياة
forget,ننسى
form,شكل
formal,رسمي
formation,تشكيل
former,سابق
formula,معادلة
forth,من الواضح
fortune,حظ
forward,إلى الأمام
found,وجدت
foundation,المؤسسة
founder,مؤسس
four,أربعة
fourth,رابعا
frame,الإطار
framework,إطار العمل
free,مجانا
freedom,الحرية
freeze,تجميد
French,فرنسي
frequency,تردد
frequent,متكرر
frequently,في كثير من الأحيان
fresh,طازج
friend,صديق
friendly,ودود
friendship,صداقة
from,من عند
front,أمام
fruit,فاكهة
frustration,إحباط
fuel,الوقود
full,ممتلىء
fully,تماما
fun,مرح
function,وظيفة
fund,الأموال
fundamental,أساسي
funding,التمويل
funeral,مأتم
funny,مضحك
furniture,أثاث المنزل
furthermore,بالإضافة إلى
future,مستقبل
gain,ربح
galaxy,جالاكسي
gallery,صالة عرض
game,لعبه
gang,عصابة
gap,الفارق
garage,كراج
garden,حديقة
garlic,ثوم
gas,غاز
gate,بوابة
gather,يجتمع
gay,جاي
gaze,تحديق
gear,هيأ
gender,جنس تذكير أو تأنيث
gene,جين
general,جنرال لواء
generally,عموما
generate,انشاء
generation,توليد
genetic,وراثي
gentleman,انسان محترم
gently,بلطف
German,ألمانية
gesture,إيماءة
get,احصل على
ghost,شبح
giant,عملاق
gift,هدية مجانية
gifted,موهوب
girl,فتاة
girlfriend,صديقة
give,يعطى
given,منح
glad,مسرور
glance,يلمح
glass,زجاج
global,عالمي
glove,قفاز
go,يذهب
goal,هدف
God,الله
gold,ذهب
golden,ذهبي
golf,جولف
good,حسن
government,حكومة
governor,محافظ حاكم
grab,إختطاف
grade,رتبة
gradually,تدريجيا
graduate,متخرج
grain,قمح
grand,كبير
grandfather,جد
grandmother,جدة
grant,منحة
grass,عشب
grave,خطير
gray,رمادي
great,رائعة
greatest,أعظم
green,لون أخضر
grocery,خضروات
ground,أرض
group,مجموعة
grow,تنمو
growing,نمو
growth,نمو
guarantee,ضمان
guard,حارس
guess,خمن
guest,الزبون
guide,يرشد
guideline,المبدأ التوجيهي
guilty,مذنب
gun,بندقية
guy,شاب
habit,عادة
habitat,الموائل
hair,شعر
half,نصف
hall,قاعة
hand,كف
handful,حفنة
handle,يتعامل
hang,يشنق
happen,يحدث
happy,سعيدة
hard,الصعب
hardly,بالكاد
hat,قبعة
hate,اكرهه
have,لديك
he,هو
head,رئيس
headline,العنوان الرئيسي
headquarters,مقر
health,الصحة
healthy,صحي
hear,يسمع
hearing,سمع
heart,قلب
heat,الحرارة
heaven,سماء
heavily,بشدة
heavy,ثقيل
heel,كعب
height,ارتفاع
helicopter,هليكوبتر
hell,الجحيم
hello,أهلا
help,يساعد
helpful,معاون، مساعد، مفيد، فاعل خير
her,لها
here,هنا
heritage,إرث
hero,بطل
herself,نفسها
hey,مهلا
hi,أهلا
hide,إخفاء
high,عالي
highlight,تسليط الضوء
highly,إدراك
highway,الطريق السريع
hill,تلة
him,له
himself,نفسه
hip,ورك او نتوء
hire,توظيف
his,له
historian,مؤرخ
historic,تاريخي
historical,تاريخي
history,التاريخ
hit,نجاح
hold,معلق
hole,الفجوة
holiday,عطلة
holy,مقدس
home,الصفحة الرئيسية
homeless,بلا مأوى
honest,صادق
honey,عسل
honor,شرف
hope,أمل
horizon,الأفق
horror,رعب
horse,حصان
hospital,مستشفى
host,مضيف
hot,الحار
hotel,الفندق
hour,ساعة
house,منزل
household,أسرة
housing,الإسكان
how,كيف
however,لكن
huge,تسربت
human,بشري
humor,دعابة
hundred,مائة
hungry,جوعان
hunter,هنتر
hunting,الصيد
hurt,الأذى
husband,الزوج
hypothesis,فرضية
I,أنا
ice,جليد
idea,فكرة
ideal,مثالي
identification,هوية
identify,تحديد
identity,هوية
ie,بمعنى آخر
if,لو
ignore,يتجاهل
ill,سوف
illegal,غير شرعي
illness,مرض
illustrate,يبين
image,صورة
imagination,خيال
imagine,يتصور
immediate,مباشر
immediately,فورا
immigrant,المهاجر
immigration,الهجرة
impact,تأثير
implement,ينفذ
implication,يتضمن
imply,لمح
importance,أهمية
important,الأهمية
impose,فرض
impossible,مستحيل
impress,اعجاب
impression,انطباع
impressive,محرج
improve,تحسن
improvement,تحسين
in,في
incentive,حافز
incident,حادث
include,يشمل
including,بما فيها
income,الإيرادات
incorporate,دمج او تجسيد
increase,يزيد
increased,زيادة
increasing,في ازدياد
increasingly,على نحو متزايد
incredible,لا يصدق
indeed,في الواقع
independence,استقلال
independent,مستقل
index,فهرس
Indian,هندي
indicate,يشير
indication,دلالة
individual,فرد
industrial,صناعي
industry,صناعة
infant,رضيع
infection,عدوى
inflation,التضخم
influence,تأثير
inform,يخبر
information,معلومة
ingredient,المكونات
initial,مبدئي
initially,في البداية
initiative,مبادر
injury,إصابة
inner,داخلي
innocent,البريء
inquiry,سؤال
inside,داخل
insight,تبصر
insist,يصر
inspire,يلهم
install,تثبيت
instance,جزء
instead,في حين أن
institution,المعهد
institutional,مؤسسية
instruction,تعليمات
instructor,المدرب
instrument,أداة
insurance,تأمين
intellectual,مفكر
intelligence,الذكاء
intend,اعتزم
intense,المكثف
intensity,الشدة
intention,الهدف
interaction,تفاعل
interest,فائدة
interested,مهتم
interesting,مثير للإعجاب
internal,داخلي
international,دولي
Internet,إنترنت
interpret,ختم
interpretation,ترجمة
intervention,تدخل قضائي
interview,مقابلة
into,إلى
introduce,تقديم
introduction,المقدمة
invasion,غزو
invest,استثمار
investigate,التحقيق
investigation,تحقيق
investigator,محقق
investment,استثمار
investor,المستثمر
invite,يدعو
involve,تنطوي
involved,متضمن
involvement,إشراكها
Iraqi,عراقي
Irish,الأيرلندية
iron,حديد
Islamic,الإسلامية
island,جزيرة
Israeli,إسرائيلي
issue,مشكلة
it,هو - هي
Italian,الإيطالية
item,غرض
its,إنه
itself,بحد ذاتها
jacket,السترة
jail,سجن
Japanese,اليابانية
jet,طائرة نفاثة
Jew,اليهودي
Jewish,يهودي
job,مهنة
join,انضم
joint,مشترك
joke,نكتة
journal,مجلة
journalist,صحافي
journey,رحلة
joy,مرح
judge,قاضي
judgment,حكم
juice,عصير
jump,القفز
junior,نجارة
jury,هيئة المحلفين
just,مجرد
justice,عدالة
justify,يبرر
keep,احتفظ
key,مفتاح
kick,ركلة
kid,طفل
kill,قتل
killer,القاتل
